course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
JAVA PROGRAMMING LANGUAGE,https://www.programiz.com/java-programming,TRUE,42000,322,333,15,ALL LEVEL,7 months                ,PROGRAMMING LANGUAGE,2022-02-05,2022,2,5
JAVA PROGRAMMING LANGUAGE,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiCqtL7gdiFAxWlqmYCHarVDfQYABAEGgJzbQ&ae=2&dsh=1&ase=3&agsac=N8l0kztRJ7Q&gclid=CjwKCAjwuJ2xBhA3EiwAMVjkVJqW1uDvAWvjEwUTiiPOx7gI3NAf2UFdTM79B8kqUBtE4OAywS3G1RoCuGYQAvD_BwE&cit=CkUKCQjwuJ2xBhCBARI0AHVd_IaDI6aHcFbm9L7WaEgIvhaCjfSycDcepnUkp7K8wTHvKvKpJhioKj7ZG5N6I38jvxoC3uXw_wcB&ohost=www.google.com&cid=CAESwwHg9uXxYOmAZuUtAodVy-f-_PPw_6m0nnqax-ievJPPT3UK3fJ159ixCEcpMNbd59LUoQfV97Q5d_V3gxITeBPz8NueYH0-47oaMwqvvneK4Ja3hUJ35F1fB8rOCL90JHQx7n8tegJ8YMJyBgkVOH9x-JXHo0RYiGqgPcQk6PoaN69LY7VucOGr8z39vGVNy7UQPW-1G5FgGKTkDQP_F-XuouczHTQCHD3vPgxYiQtubAToaPoOcq6Y52UvX1-pfIHwXnY&sig=AOD64_10ty_owqkIKS-cM8jNmeDXs26ooA&q&adurl&ved=2ahUKEwj1rsv7gdiFAxUeyqACHTDYByUQ0Qx6BAgIEAE&nis=12&uk=1713864578933&ms=CoACMcNdfhHndotqT59i7evN5MpZ4MNEa19cuEwNRn6_cKAFGJw2wAJzXJfrAYpGsA2mcWjM_hfdkmCRKNKigHmg_XvXAu3tbaO6YeiYwzOp0Bk-aycM4khbuVktZg8UtlXGbjKQXVfsdD98turWXFeWqeLFMr0kZLS7L_pyepIvh_at05qfVw1IMYIUKemELfOuUzasvmU6OAxX9ggKZbulbjSLwFUcDGki_SE0lnMYnLyPMI3zFCf5THwWxYhvTVDI35O1DnwECOlxdiq3UtXtBqdIZcyyvwMI-54pqgTjMLkukRyZRX27Z_7ewTuJCsVxPYjiJx4mNDep-JtF391nLgqAArNXusgbAwTsOSPYxUMToxZHPvZDoTxF-dtav_60I2umPfgb7XOWPvLFLZFM0sUMxHdGOOTk6KUzdUipyOQcT38kmvEA0rqhaH0gkl2Cz2rpGHTYEkBelMiQ99aaSM7Wjnv3hBMbWwEbhb3CVza7BRXG5NkNkie1mSaJ3KivwpIZyqenA6Mxd7GGN1UCPpmw2ZqnYvJ06VIZGd3UjW-W7Yznecw2tFV7SsCoVDY3M7vAUAC1wJkOGh_c06tUNBIVCSf-SPcA9uLgnf90YMAQCXQ9VdoF6K5cooPViEsxu9IZovRsi1myKpb-TWs-Zcq3T8jT49yaUb6VqHI5_hJKcj4SEIpTWBDOVm_ymi7wNTku_c4&dct=1,TRUE,42000,190,332,15,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2023-03-04,2023,3,4
JAVA PROGRAMMING LANGUAGE,https://www.ccbp.in/intensive/demo?utm_source=google&utm_medium=searchads&utm_campaign=nbsearch-intensivesearchads-india-javakeys&gad_source=1&gclid=CjwKCAjwuJ2xBhA3EiwAMVjkVHsxArTHdVIeTCh1teHywwr7e-afYQU8UfvHG8NUhI09e1pMkmEoBRoCSrUQAvD_BwE,TRUE,42000,233,332,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2020-03-05,2020,3,5
JAVA PROGRAMMING LANGUAGE,https://www.nareshit.in/java-online-training/,TRUE,42000,322,222,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2023-03-07,2023,3,7
JAVA PROGRAMMING LANGUAGE,https://codegym.cc/,TRUE,42000,200,234,15,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2022-05-07,2022,5,7
DSA USING JAVA,https://www.tutorialspoint.com/dsa_using_java/dsa_using_java_data_structures.htm,TRUE,42000,322,288,20,ALL LEVEL,6 months,DSA,2022-03-22,2022,3,22
DSA USING JAVA,https://www.geeksforgeeks.org/data-structures/,TRUE,42000,200,235,20,ALL LEVEL,6 months,DSA,2022-03-08,2022,3,8
DSA USING JAVA,https://www.codechef.com/roadmap/java-dsa,TRUE,42000,322,333,15,ALL LEVEL,7 months                ,DSA,2022-02-05,2022,2,5
DSA USING JAVA,https://www.scaler.com/topics/course/dsa-beginners-java/,TRUE,42000,190,332,15,ALL LEVEL,6 months,DSA,2023-03-04,2023,3,4
DSA USING JAVA,https://www.programiz.com/dsa,TRUE,42000,233,332,20,ALL LEVEL,6 months,DSA,2020-03-05,2020,3,5
